playerID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,height,weight,year,tmID,age,players_prizes
brownki01w,18,0,108,28,4,8,12,6,5,0,5,10,35,12,3,3,11,1,0,70.0,134.0,4,WAS,25.0,0.0
brownki01w,27,0,269,60,6,26,32,28,13,1,22,23,72,24,3,2,33,10,0,70.0,134.0,5,WAS,26.0,0.0
brownki01w,26,0,371,104,9,41,50,42,13,2,33,21,88,35,24,21,28,13,0,70.0,134.0,6,WAS,27.0,0.0
brownki01w,26,0,371,104,9,41,50,42,13,2,33,21,88,35,24,21,28,13,0,70.0,134.0,6,HOU,27.0,0.0
brownki01w,6,0,32,2,0,1,1,2,3,0,4,1,2,1,0,0,1,0,0,70.0,134.0,7,NYL,28.0,0.0
brownki01w,16,0,58,20,2,6,8,9,2,0,3,7,20,6,8,7,4,1,0,70.0,134.0,8,MIN,29.0,0.0
brownki01w,16,0,58,20,2,6,8,9,2,0,3,7,20,6,8,7,4,1,0,70.0,134.0,8,LAS,29.0,0.0
brownki01w,30,0,356,142,10,34,44,50,13,4,27,26,108,41,48,41,43,19,0,70.0,134.0,9,LAS,30.0,0.0
brownki01w,32,17,530,158,8,51,59,66,19,0,39,41,146,52,34,31,67,23,0,70.0,134.0,10,CON,31.0,0.0
brownru01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,175.0,1,CLE,29.0,0.0
brownru01w,30,22,679,253,54,70,124,44,38,13,59,81,187,93,78,66,2,1,0,74.0,175.0,2,CLE,30.0,0.0
brownru01w,30,24,760,249,49,83,132,37,44,10,37,73,195,101,63,46,1,1,1,74.0,175.0,3,CLE,31.0,0.0
